2022-05-16 15:05:724 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:612 INFO  HomePage :56 - Clicking on SignInHeader[[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-16 15:05:692 INFO  CreateAccountPage :132 - Enter emailsoft12345@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='email_create']]
2022-05-16 15:05:742 INFO  CreateAccountPage :114 - Clicking on CreateAccount[[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //body[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/div[1]/form[1]/div[1]/div[3]/button[1]/span[1]]
2022-05-16 15:05:21 INFO  CreateAccountPage :119 - Clicking on Gender button[[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='id_gender2']]
2022-05-16 15:05:38 INFO  CreateAccountPage :122 - Enter firstnameJohnato firstname field[[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='customer_firstname']]
2022-05-16 15:05:141 INFO  CreateAccountPage :127 - Enter LastNameSmith to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='customer_lastname']]
2022-05-16 15:05:212 INFO  CreateAccountPage :142 - Enter Password abc12345 to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='email']]
2022-05-16 15:05:297 INFO  CreateAccountPage :147 - Selecting day15 from dropdown [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //select[@id='days']]
2022-05-16 15:05:371 INFO  CreateAccountPage :152 - Selecting Month11 from dropdown [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> id: months]
2022-05-16 15:05:430 INFO  CreateAccountPage :157 - Selecting Year2005 from dropdown [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> id: years]
2022-05-16 15:05:485 INFO  CreateAccountPage :172 - Enter FirstnameMiss smith to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='firstname']]
2022-05-16 15:05:536 INFO  CreateAccountPage :178 - Enter address LastnameGeorge to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='lastname']]
2022-05-16 15:05:617 INFO  CreateAccountPage :183 - Enter address Companyjvc ltd to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='company']]
2022-05-16 15:05:670 INFO  CreateAccountPage :188 - Enter address office10,west town to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='address1']]
2022-05-16 15:05:723 INFO  CreateAccountPage :198 - Enter address CityLeedsto email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='city']]
2022-05-16 15:05:777 INFO  CreateAccountPage :204 - Select address StateOhio to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //select[@id='id_state']]
2022-05-16 15:05:832 INFO  CreateAccountPage :209 - Enter address ZipCode32184 to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='postcode']]
2022-05-16 15:05:863 INFO  CreateAccountPage :214 - Selecting address CountryUnited States from dropdown [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //select[@id='id_country']]
2022-05-16 15:05:914 INFO  CreateAccountPage :219 - Enter address AddInfo Nothing to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //textarea[@id='other']]
2022-05-16 15:05:971 INFO  CreateAccountPage :224 - Enter address Homephone 0778456321 to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='phone']]
2022-05-16 15:05:29 INFO  CreateAccountPage :229 - Enter address Mobile phone 01574562112 to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='phone_mobile']]
2022-05-16 15:05:85 INFO  CreateAccountPage :193 - Enter addressLine210,Liverpool Street to email field [[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //input[@id='address1']]
2022-05-16 15:05:781 INFO  CreateAccountPage :239 - Clicking on Register[[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //body[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/form[1]/div[4]/button[1]/span[1]]
2022-05-16 15:05:795 INFO  CreateAccountPage :243 - Verifying my account text[[ChromeDriver: chrome on WINDOWS (ed14be93a39f6018bb1f055550e8134c)] -> xpath: //h1[contains(text(),'My account')]]
2022-05-16 15:05:869 INFO  SignInPage :74 - getting Authentification text from Proxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Authentication')]'
2022-05-16 15:05:763 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:883 INFO  HomePage :56 - Clicking on SignInHeader[[ChromeDriver: chrome on WINDOWS (0a9f21b38717b05f8af9cc05542efd9a)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-16 15:05:896 INFO  SignInPage :74 - getting Authentification text from [[ChromeDriver: chrome on WINDOWS (0a9f21b38717b05f8af9cc05542efd9a)] -> xpath: //h1[contains(text(),'Authentication')]]
2022-05-16 15:05:544 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:881 INFO  HomePage :56 - Clicking on SignInHeader[[ChromeDriver: chrome on WINDOWS (3d81dbcb14f6d7f2b96e094239e59399)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-16 15:05:923 INFO  SignInPage :55 - Enter email to email field [[ChromeDriver: chrome on WINDOWS (3d81dbcb14f6d7f2b96e094239e59399)] -> xpath: //input[@id='email']]
